iter	Passed	Remaining
0	1330	105090
1	3628	141515
2	6628	170134
3	9331	177297
4	12029	180435
5	14729	181668
6	16939	176654
7	19330	173975
8	22045	173914
9	24431	171021
10	26731	167677
11	28932	163952
12	31130	160442
13	33531	158076
14	36132	156574
15	38430	153723
16	40331	149462
17	42433	146159
18	45031	144573
19	47027	141082
20	49133	138040
21	51734	136390
22	54237	134415
23	57131	133307
24	60130	132287
25	62731	130289
26	65630	128830
27	68631	127458
28	71530	125794
29	74530	124217
30	77230	122074
31	80633	120949
32	83829	119393
33	86331	116801
34	89322	114843
35	92137	112612
36	95329	110788
37	98231	108571
38	101329	106526
39	104337	104337
40	107230	102000
41	110130	99642
42	112832	97088
43	115729	94687
44	118636	92272
45	121528	89825
46	124228	87224
47	127036	84691
48	129931	82201
49	132428	79456
50	135235	76898
51	138227	74430
52	141438	72053
53	144335	69495
54	147130	66877
55	149828	64212
56	152636	61589
57	155728	59069
58	158737	56499
59	161920	53973
60	164728	51308
61	167728	48695
62	170535	46017
63	173420	43355
64	176128	40645
65	178827	37933
66	181728	35260
67	184620	32580
68	187435	29881
69	190320	27188
70	193127	24480
71	196127	21791
72	199029	19085
73	202630	16429
74	205627	13708
75	208436	10970
76	211228	8229
77	214135	5490
78	217034	2747
79	219827	0
