iter	Passed	Remaining
0	106	105908
1	604	301590
2	810	269260
3	1404	349727
4	1804	359102
5	2304	381701
6	2505	355451
7	2803	347688
8	3307	364179
9	3806	376881
10	4104	369069
11	4511	371463
12	4804	364743
13	5005	352530
14	5510	361826
15	6102	375309
16	6610	382260
17	7202	392943
18	7704	397807
19	8203	401958
20	8600	400968
21	9102	404648
22	9303	395204
23	9611	390876
24	10111	394336
25	10703	400955
26	11201	403681
27	11504	399356
28	12101	405188
29	12402	401013
30	12903	403337
31	13401	405401
32	13902	407384
33	14203	403551
34	14510	400082
35	15101	404391
36	15603	406108
37	16003	405146
38	16502	406630
39	16802	403271
40	17199	402310
41	17601	401480
42	17903	398465
43	18408	399974
44	18998	403198
45	19301	400297
46	19799	401463
47	20201	400659
48	20601	399830
49	21199	402790
50	21708	403944
51	22299	406534
52	22801	407412
53	23402	409980
54	23907	410780
55	24499	412995
56	24908	412084
57	25499	414150
58	26006	414783
59	26501	415184
60	26998	415597
61	27499	416040
62	27798	413452
63	28199	412422
64	28799	414274
65	29399	416042
66	29899	416366
67	30400	416659
68	30904	416980
69	31397	417135
70	31997	418668
71	32499	418881
72	33197	421563
73	33400	417952
74	34005	419399
75	34398	418218
76	34899	418345
77	35397	418412
78	35996	419660
79	36496	419707
80	37005	419852
81	37399	418693
82	37997	419803
83	38495	419786
84	39097	420868
85	39694	421873
86	40204	421913
87	40797	422812
88	41099	420690
89	41696	421597
90	42195	421496
91	42697	421403
92	43296	422253
93	43597	420202
94	43898	418186
95	44304	417196
96	44896	417950
97	45297	416917
98	45896	417706
99	46496	418467
100	46993	418292
101	47502	418207
102	48095	418852
103	48302	416145
104	48895	416778
105	49195	414916
106	49795	415586
107	50395	416229
108	50697	414415
109	51293	415013
110	51596	413236
111	52192	413814
112	52695	413638
113	53293	414195
114	53791	413962
115	54292	413743
116	54891	414266
117	55194	412557
118	55692	412312
119	56093	411351
120	56494	410401
121	57092	410877
122	57593	410646
123	58101	410461
124	58594	410161
125	58993	409210
126	59392	408266
127	59790	407325
128	60094	405755
129	60591	405495
130	60999	404642
131	61293	403050
132	61689	402142
133	62289	402557
134	62792	402339
135	63391	402721
136	63889	402459
137	64190	400957
138	64691	400716
139	64991	399234
140	65293	397780
141	65593	396331
142	66190	396679
143	66492	395263
144	66890	394425
145	67090	392430
146	67289	390461
147	67697	389718
148	68287	390019
149	68690	389244
150	68987	387883
151	69198	386053
152	69789	386350
153	70088	385030
154	70290	383196
155	70697	382492
156	70989	381171
157	71496	381011
158	71888	380241
159	72487	380559
160	72986	380347
161	73387	379619
162	73796	378941
163	74195	378218
164	74590	377472
165	75190	377764
166	75788	378034
167	76387	378299
168	76896	378111
169	77488	378327
170	78088	378570
171	78685	378788
172	79188	378548
173	79786	378756
174	80386	378963
175	80687	377765
176	81193	377525
177	81785	377685
178	82385	377870
179	83085	378501
180	83686	378669
181	84385	379271
182	84985	379414
183	85584	379547
184	86087	379248
185	86583	378920
186	86993	378210
187	87585	378294
188	87886	377123
189	88485	377227
190	89083	377321
191	89684	377420
192	90285	377513
193	90885	377595
194	91283	376837
195	91585	375688
196	91983	374938
197	92285	373801
198	92882	373863
199	93491	373964
200	94085	374000
201	94481	373246
202	94980	372903
203	95483	372573
204	96087	372630
205	96489	371907
206	97083	371919
207	97488	371205
208	98181	371585
209	98583	370861
210	99083	370506
211	99585	370158
212	100182	370158
213	100885	370543
214	101494	370571
215	102179	370875
216	102690	370536
217	103389	370873
218	103982	370824
219	104588	370815
220	105194	370798
221	105491	369694
222	106086	369637
223	106779	369916
224	107184	369191
225	107790	369157
226	108488	369435
227	109089	369374
228	109785	369625
229	110382	369542
230	111083	369797
231	111882	370370
232	112482	370276
233	113176	370483
234	113579	369736
235	114283	369967
236	114984	370182
237	115678	370366
238	116373	370545
239	116883	370130
240	117575	370290
241	118085	369869
242	118777	370019
243	119382	369889
244	120081	370046
245	120774	370178
246	121378	370031
247	121984	369887
248	122677	370004
249	123371	370115
250	123885	369680
251	124578	369779
252	125180	369604
253	125782	369424
254	126479	369519
255	126979	369034
256	127579	368839
257	128173	368624
258	128773	368420
259	129372	368213
260	129878	367740
261	130470	367509
262	131071	367299
263	131668	367077
264	132272	366869
265	132878	366663
266	133569	366691
267	134072	366196
268	134669	365961
269	135177	365479
270	135771	365229
271	136369	364989
272	136871	364488
273	137377	364000
274	137876	363493
275	138472	363238
276	139069	362986
277	139576	362497
278	140170	362231
279	140770	361982
280	141368	361723
281	141977	361488
282	142570	361212
283	143168	360946
284	143668	360430
285	144266	360161
286	144766	359647
287	145275	359152
288	145868	358865
289	146468	358594
290	147068	358320
291	147666	358041
292	148266	357762
293	148774	357260
294	149465	357198
295	150068	356918
296	150670	356638
297	151265	356337
298	151866	356047
299	152371	355534
300	152872	355009
301	153473	354717
302	154064	354399
303	154663	354097
304	155163	353569
305	155763	353266
306	156362	352962
307	156870	352448
308	157470	352141
309	158070	351834
310	158762	351727
311	159361	351412
312	159864	350884
313	160372	350367
314	160964	350034
315	161564	349714
316	162164	349394
317	162670	348871
318	163362	348744
319	163961	348418
320	164560	348089
321	165067	347564
322	165662	347224
323	166259	346887
324	166767	346362
325	167361	346016
326	167860	345474
327	168458	345135
328	168958	344594
329	169466	344068
330	170058	343714
331	170561	343178
332	171158	342831
333	171659	342291
334	172157	341746
335	172659	341207
336	173263	340870
337	173858	340516
338	174458	340168
339	175057	339817
340	175656	339465
341	176157	338923
342	176757	338570
343	177264	338038
344	177766	337498
345	178455	337312
346	179057	336957
347	179658	336601
348	180255	336236
349	180853	335870
350	181456	335513
351	182055	335148
352	182653	334779
353	183156	334234
354	183755	333864
355	184357	333501
356	184956	333129
357	185557	332759
358	186253	332559
359	186852	332182
360	187463	331825
361	188052	331430
362	188750	331224
363	189353	330848
364	189955	330469
365	190555	330087
366	191152	329698
367	191751	329312
368	192354	328931
369	192953	328541
370	193553	328153
371	194151	327761
372	194652	327203
373	195250	326809
374	195851	326419
375	196357	325869
376	196952	325467
377	197552	325073
378	198150	324674
379	198753	324282
380	199351	323881
381	199957	323491
382	200551	323081
383	201151	322680
384	201748	322274
385	202349	321871
386	203047	321623
387	203650	321221
388	204347	320968
389	204946	320556
390	205449	319996
391	205948	319430
392	206447	318863
393	207045	318451
394	207546	317887
395	208146	317475
396	208747	317065
397	209347	316651
398	209947	316237
399	210543	315814
400	211049	315259
401	211647	314838
402	212252	314429
403	212852	314010
404	213443	313578
405	214044	313158
406	214545	312592
407	215141	312166
408	215650	311611
409	216241	311177
410	216843	310755
411	217443	310332
412	218043	309906
413	218640	309475
414	219239	309047
415	219838	308620
416	220142	307777
417	220742	307349
418	221340	306918
419	221941	306490
420	222540	306059
421	223047	305501
422	223639	305058
423	224239	304627
424	224747	304070
425	225340	303627
426	225940	303193
427	226540	302760
428	227140	302324
429	227745	301895
430	228336	301446
431	228638	300617
432	229144	300057
433	229735	299609
434	230238	299044
435	230843	298613
436	231334	298035
437	231743	297350
438	232337	296904
439	232935	296463
440	233437	295898
441	234038	295460
442	234637	295017
443	235234	294573
444	235743	294017
445	236435	293688
446	236941	293128
447	237532	292674
448	238040	292116
449	238633	291663
450	239234	291218
451	239832	290770
452	240431	290322
453	240938	289763
454	241432	289187
455	242032	288740
456	242633	288293
457	243233	287843
458	243830	287391
459	244430	286940
460	245032	286490
461	245629	286036
462	246132	285471
463	246737	285024
464	247328	284560
465	247827	283991
466	248328	283424
467	248927	282969
468	249433	282407
469	250130	282062
470	250829	281717
471	251427	281257
472	251928	280689
473	252526	280229
474	253027	279661
475	253626	279202
476	254225	278742
477	254733	278182
478	255427	277823
479	256024	277360
480	256625	276899
481	257223	276434
482	257725	275867
483	258327	275406
484	258927	274943
485	259426	274372
486	260026	273908
487	260721	273543
488	261222	272975
489	261821	272508
490	262421	272042
491	262921	271472
492	263423	270903
493	264023	270436
494	264623	269969
495	265222	269500
496	265722	268930
497	266322	268461
498	266827	267897
499	267519	267519
500	268027	266957
501	268617	266476
502	269219	266008
503	269819	265536
504	270420	265065
505	271018	264591
506	271516	264018
507	271925	263360
508	272524	262887
509	273116	262406
510	273616	261836
511	274125	261275
512	274815	260887
513	275421	260417
514	276116	260032
515	276621	259466
516	277222	258991
517	277817	258509
518	278314	257937
519	278823	257375
520	279413	256889
521	280013	256410
522	280613	255932
523	281122	255370
524	281720	254889
525	282311	254402
526	282819	253840
527	283510	253440
528	284019	252879
529	284619	252398
530	285310	251997
531	285913	251517
532	286511	251033
533	287009	250461
534	287517	249898
535	288112	249410
536	288712	248927
537	289310	248441
538	289909	247955
539	290509	247470
540	291111	246987
541	291711	246501
542	292310	246014
543	292910	245527
544	293509	245040
545	294108	244551
546	294608	243980
547	295207	243492
548	295806	243002
549	296314	242439
550	296905	241943
551	297412	241378
552	298013	240889
553	298704	240473
554	299304	239982
555	299903	239491
556	300412	238928
557	301003	238429
558	301610	237943
559	302203	237445
560	302810	236958
561	303501	236537
562	304102	236044
563	304603	235473
564	305201	234978
565	305701	234407
566	306301	233913
567	306800	233341
568	307401	232847
569	308000	232351
570	308499	231780
571	309101	231285
572	309697	230786
573	310298	230291
574	310898	229794
575	311497	229296
576	311997	228726
577	312598	228229
578	313199	227731
579	313797	227232
580	314299	226663
581	314896	226162
582	315497	225664
583	316004	225098
584	316596	224594
585	317195	224093
586	317696	223523
587	318202	222958
588	318795	222452
589	319295	221883
590	319902	221387
591	320501	220886
592	321091	220378
593	321692	219877
594	322192	219307
595	322795	218807
596	323293	218236
597	323992	217800
598	324791	217431
599	325299	216866
600	325893	216358
601	326490	215852
602	327091	215348
603	327591	214778
604	328098	214212
605	328697	213707
606	329290	213197
607	329889	212691
608	330489	212186
609	330995	211619
610	331595	211114
611	332087	210539
612	332587	209969
613	333189	209464
614	333787	208956
615	334386	208448
616	334986	207941
617	335486	207371
618	336087	206864
619	336687	206356
620	337285	205847
621	337784	205277
622	338283	204707
623	338583	204018
624	339091	203454
625	339682	202941
626	340184	202374
627	340783	201865
628	341382	201355
629	341982	200846
630	342489	200283
631	343082	199769
632	343680	199258
633	344182	198692
634	344779	198180
635	345386	197674
636	345981	197160
637	346587	196652
638	347186	196141
639	347679	195569
640	348186	195005
641	348685	194438
642	349277	193922
643	349785	193359
644	350378	192843
645	350975	192330
646	351477	191764
647	351977	191197
648	352576	190684
649	353175	190171
650	353774	189657
651	354282	189095
652	354876	188578
653	355382	188015
654	355974	187497
655	356482	186935
656	356981	186369
657	357474	185799
658	357980	185237
659	358480	184671
660	359172	184204
661	359771	183689
662	360371	183175
663	360970	182659
664	361571	182145
665	362071	181579
666	362671	181063
667	363270	180547
668	363770	179982
669	364368	179464
670	364969	178949
671	365475	178386
672	366068	177866
673	366574	177304
674	367167	176784
675	367767	176267
676	368467	175797
677	369074	175283
678	369667	174761
679	370164	174195
680	370574	173587
681	371165	173065
682	371764	172546
683	372264	171981
684	372678	171377
685	373265	170853
686	373870	170336
687	374370	169772
688	374963	169250
689	375561	168730
690	376161	168210
691	376662	167647
692	377260	167127
693	377762	166563
694	378361	166043
695	378960	165522
696	379467	164962
697	380060	164438
698	380760	163961
699	381360	163440
700	381959	162918
701	382461	162355
702	382961	161791
703	383559	161269
704	384065	160708
705	384754	160223
706	385255	159660
