iter	Logloss	Accuracy
0	0.3007996296	0.9426282663
1	0.2248233161	0.9426282663
2	0.1931822354	0.9438489414
3	0.1802024488	0.9447644478
4	0.1731470182	0.9456799542
5	0.1700171694	0.9465954606
6	0.1684679702	0.9474728209
7	0.1661233028	0.9487697883
8	0.1657107859	0.9488079344
9	0.1651838166	0.9485790578
10	0.1645250762	0.949036811
11	0.1642705071	0.9492656876
12	0.1642121247	0.9492656876
13	0.1617567828	0.9499904635
14	0.1611805891	0.9502956323
15	0.1603021501	0.950562655
16	0.160195505	0.9506389472
17	0.1601349056	0.9507533855
18	0.1600781737	0.9506770933
19	0.1589426802	0.9504863628
20	0.1589096843	0.9506008011
21	0.1587133502	0.9506389472
22	0.1582949084	0.9506389472
23	0.1579898453	0.9509822621
24	0.1579402468	0.9509822621
25	0.1571363264	0.9514781614
26	0.1555524903	0.9518214763
27	0.1548664763	0.9520122068
28	0.1547927818	0.9520503529
29	0.1545871259	0.9523555216
30	0.1542305762	0.9526225443
31	0.1540767121	0.9524318138
32	0.1538566645	0.9530802975
33	0.1537310907	0.9526606904
34	0.1536425733	0.952889567
35	0.1534301583	0.9529658592
36	0.1528968275	0.9528132748
37	0.1525011999	0.9528514209
38	0.1523066347	0.9530421514
39	0.1519282589	0.9531947358
40	0.151530999	0.9534999046
41	0.1514351586	0.9534999046
42	0.1513389289	0.953652489
43	0.1511864513	0.9538432195
44	0.1510635701	0.9539576578
45	0.1510046473	0.9539958039
46	0.1507887206	0.9540720961
47	0.1504265261	0.9540720961
48	0.1501686455	0.9541102422
49	0.1491056419	0.954415411
50	0.1490312351	0.9545679954
51	0.1489688553	0.9545679954
52	0.1489582521	0.9545298493
53	0.1488369167	0.9545679954
54	0.1485665136	0.9548731642
55	0.1485190054	0.954796872
56	0.1484403618	0.9549494564
57	0.148363553	0.9549494564
58	0.1482692902	0.9548731642
59	0.1482241674	0.9549494564
60	0.1482044579	0.9549876025
61	0.1481222124	0.9551020408
62	0.1480503207	0.9552164791
63	0.1480370835	0.9552164791
64	0.1479846725	0.9552164791
65	0.147746583	0.9550257486
66	0.1462654853	0.9557886706
67	0.1462443357	0.9558268167
68	0.1461601913	0.955941255
69	0.1460525227	0.9559794011
70	0.1458500102	0.9560938394
71	0.1457861226	0.9561319855
72	0.1457787785	0.9560938394
73	0.1457426591	0.9560175472
74	0.1455488176	0.9562845699
75	0.1455407939	0.956322716
76	0.1454531418	0.9563990082
77	0.145416762	0.9564371543
78	0.1453107335	0.9564371543
79	0.1447818756	0.9565897387
80	0.1445191439	0.9568186153
81	0.1442207938	0.9569711997
82	0.1437912932	0.9571619302
83	0.1437732071	0.9572763685
84	0.1437398262	0.9572763685
85	0.1437183329	0.9572382224
86	0.1435270782	0.9570474919
87	0.1433493004	0.9570093458
88	0.1433435167	0.9570093458
89	0.143084543	0.9573145146
90	0.1430155096	0.9572382224
91	0.1429946903	0.9572382224
92	0.1427621701	0.9576959756
93	0.1425503444	0.9577722678
94	0.1425261277	0.9579248522
95	0.1424699141	0.9577722678
96	0.1420236841	0.9580774366
97	0.1419386164	0.958230021
98	0.1418891716	0.9582681671
